Airport Hotel Sydney (Formerly Comfort Hotel Sydney Airport),,Sydney,4.0,5.0,alure-sydney-airport-hotel,948
"Hotel Harry, Ascend Hotel Collection",Surry Hills,Sydney,4.0,7.3,econo-lodge-sydney-south,133
Annam Serviced Apartments,Potts Point,Sydney,4.0,8.5,annam-apartments,223
Darling Harbour Getaway,Sydney CBD,Sydney,3.5,9.4,darling-harbour-getaway,50
Aiden by Best Western @ Darling Harbour,Sydney CBD,Sydney,4.0,8.6,aiden-by-best-western-darling-harbour,217
Novotel Sydney Olympic Park,Sydney Olympic Park,Sydney,4.0,8.2,sydney-olympic-park,1051
Mantra Hotel at Sydney Airport,Mascot,Sydney,4.0,8.3,mantra-at-sydney-airport,1569
Dive Hotel,Coogee,Sydney,4.0,7.7,dive,485
"KULA Crows Nest - Close to shops, Royal North Shore Hospital & Mater Hospital",,Sydney,3.5,8.1,staynco-crows-nest-close-to-shops-amp-royal-north-shore-hospital,56
Grande Esplanade Studio,Manly,Sydney,4.0,9.3,grande-esplanade-studio-sydney,80
MGSM Executive Hotel & Conference Centre,North Ryde,Sydney,4.0,8.3,mgsm-executive-amp-conference-centre,1107
Mad Monkey Coogee Beach,Coogee,Sydney,4.0,7.3,surfside-coogee-beach,99
Gardenview Partio Home in Sydney Olympic Park,Sydney Olympic Park,Sydney,3.5,8.1,sydney-olympic-park-sydney-olympic-park12,64
The Sebel Sydney Manly Beach,Manly,Sydney,4.0,7.8,the-sebel-manly-beach,563
Mantra Sydney Central,Sydney CBD,Sydney,4.0,8.1,breakfree-on-george,776
Mantra 2 Bond Street,Sydney CBD,Sydney,4.0,8.4,mantra-2-bond-street,1237
Mantra Chatswood,Chatswood,Sydney,4.0,8.1,mantra-chatswood,521
Cremorne Point Manor,,Sydney,4.0,8.7,cremorne-point-manor,753
Paxsafe Sydney Hyde Park Private Apartments,Sydney CBD,Sydney,4.0,6.8,paxsafe-sydney-hyde-park-views-1005,155
Wentworth Hotel,,Sydney,4.0,6.0,wentworth-homebush,174
The Sebel Sydney Chatswood,Chatswood,Sydney,4.0,7.4,the-sebel-residence-chatswood,278
"Carnarvon Lodge Kirribilli, Sydney",Kirribilli,Sydney,4.0,6.8,carnarvon-lodge-kirribilli-sydney,115
APX Parramatta,Parramatta,Sydney,4.0,6.5,apx-apartments-parramatta-sydney,1014
Boardrider Backpackers and Budget Motel,Manly,Sydney,4.0,7.0,boardrider-backpackers-and-budget-motel,177
Radisson Hotel & Suites Sydney,Sydney CBD,Sydney,4.0,8.7,radisson-suites-sydney,942
The Bayswater Sydney,Potts Point,Sydney,3.5,7.9,the-bayswater-sydney,397
Travelodge Hotel Sydney,Sydney CBD,Sydney,3.5,7.8,travelodge-sydney,4326
High Cross Randwick by Sydney Lodges,Randwick,Sydney,3.0,8.5,high-cross-park-lodge,321
Accommodation Sydney - Hyde Park Plaza,Sydney CBD,Sydney,2.5,7.8,accommodation-sydney-hyde-park-plaza,298
ibis budget Sydney Airport,Mascot,Sydney,3.0,7.1,ibis-budget-sydney-airport,7307
Park Regis City Centre,Sydney CBD,Sydney,3.5,7.2,park-regis-city-centre,2685
Sydney Boutique Hotel,Darlinghurst,Sydney,3.0,6.9,sydney-boutique,515
Eastwood Furnished Apartments,Ryde,Sydney,2.5,8.1,eastwood-furnished-apartments,185
Westside Motor Inn,,Sydney,3.5,7.2,westside-motor-inn,313
ibis Sydney Darling Harbour,Sydney CBD,Sydney,3.0,7.8,ibis-sydney-darling-harbour,3172
Charrington Hotel,Chatswood,Sydney,3.5,8.2,charrington,485
ibis Budget - St Peters,,Sydney,3.0,7.0,ibis-budget-st-peters,2189
Royal Hotel Ryde,Ryde,Sydney,3.0,7.6,royal-ryde,183
Song Hotel Sydney,Sydney CBD,Sydney,3.5,7.8,ywcas,2547
Metro Apartments On Darling Harbour,Sydney CBD,Sydney,3.5,7.7,metro-apartments-on-darling-harbour,962
Devere Hotel,Potts Point,Sydney,3.5,7.2,devere,631
ibis budget Sydney East,Darlinghurst,Sydney,3.0,7.8,ibis-budget-sydney-east,1477
ibis Sydney Airport,Mascot,Sydney,3.0,7.9,ibis-sydney-airport,2012
Hotel 59 Sydney,Rushcutters Bay,Sydney,3.0,8.2,hotel-59-sydney,188
ibis Sydney World Square,Sydney CBD,Sydney,3.0,7.6,ibis-world-square,1362
St Marks Randwick,Randwick,Sydney,3.0,8.8,st-marks-randwick,305
The North Shore Hotel,North Sydney,Sydney,3.0,7.7,the-north-shore,381
Value Suites Green Square,Green Square,Sydney,3.5,8.4,value-suites-green-square,1195
Discover The Rocks - Historical Terrace House,Sydney CBD,Sydney,2.5,8.6,56c-gloucester-street-the-rocks1,74
Town and Country Motel,,Sydney,3.5,6.9,town-and-country-motel,201
Cityview Studio Accommodation,,Sydney,3.0,7.3,cityview-studio-accommodation-sydney,376
Garden Lodge Sydney Hotel,,Sydney,3.5,7.5,garden-lodge-sydney,720
Marco Polo Motor Inn Sydney,Summer Hill,Sydney,3.5,6.8,marco-polo-motor-inn,540
Sydney Crecy Hotel,Darlinghurst,Sydney,3.0,7.6,sydney-crecy,380
Granville Hotel,Parramatta,Sydney,3.0,7.0,granville,286
Royal Exhibition Hotel,Surry Hills,Sydney,3.5,7.8,royal-exhibition,927
Hotel Kith Darling Harbour,Sydney CBD,Sydney,3.0,7.8,metroresidences-darling-habour,575
Sydney Airport Suites,Mascot,Sydney,2.5,7.5,aea-sydney-airport-serviced-apartments,371
Parramatta City Motel,Parramatta,Sydney,3.5,7.5,parramatta-city-motel,290
Coogee Prime Lodge,Clovelly,Sydney,3.0,7.9,coogee-prime-lodge,229
North Ryde Guesthouse,North Ryde,Sydney,3.5,7.7,north-ryde-guest-house,230
AeA The Coogee View,Coogee,Sydney,3.0,7.9,aea-the-coogee-view,327
Liberty Plains Motor Inn,,Sydney,3.5,7.0,liberty-plains-motor-inn,391
The Erko Hotel,,Sydney,3.0,7.5,the-erko,188
