Name,Suburb,city,Star Rating,Overall Guest rating,reviewName,count_rev
Jetty Motel The Entrance,,The Entrance,4,8.4,jetty-motel,768
Metro Aspire Hotel Sydney,Ultimo,Sydney,4,8.6,aspire-sydney-formerly-aspen,1217
The Lord Byron,,Byron Bay,4,8.7,lord-byron-resort,984
Charlesworth Bay Beach Resort,,Coffs Harbour,4,7.0,pacterrace,2591
WM Bankstown,,Bankstown,4,7.7,gardenia-motor-inn,457
ibis Newcastle,,Newcastle,4,7.5,ibis-newcastle,1050
Jetty Motel The Entrance,,The Entrance,4,8.4,jetty-motel,768
Metro Aspire Hotel Sydney,Ultimo,Sydney,4,8.6,aspire-sydney-formerly-aspen,1217
The Lord Byron,,Byron Bay,4,8.7,lord-byron-resort,984
Charlesworth Bay Beach Resort,,Coffs Harbour,4,7.0,pacterrace,2591
WM Bankstown,,Bankstown,4,7.7,gardenia-motor-inn,457
"West Hotel Sydney, Curio Collection by Hilton",Sydney CBD,Sydney,4.5,8.6,west-sydney,970
ibis Newcastle,,Newcastle,4,7.5,ibis-newcastle,1050
Rydges Campbelltown,,Campbelltown,4.5,8.5,rydges-campbelltown,2027
Finns at Old Bar,,Old Bar,3.5,9.1,surf-side-retreat,164
Sage Hotel Wollongong,,Wollongong,4,7.5,chifley-wollongong,4149
Courtyard by Marriott Sydney-North Ryde,North Ryde,Sydney,4,8.3,courtyard-by-marriott-at-north-ryde,784
Travelodge Hotel Macquarie North Ryde Sydney,North Ryde,Sydney,4,8.3,travelodge-macquarie-north-ryde,1002
Kirketon Hotel Sydney,Darlinghurst,Sydney,4,7.4,kirketon-sydney,1256
Rydges Cronulla Beachside,,Cronulla,4,8.1,rydges-cronulla-beach,1427
Quality Inn Penrith Sydney,,Penrith,4,8.4,hotel-mulgoa-road-penrith,706
Pound Creek Gallery,,Tumbarumba,3.5,8.6,pound-creek-gallery,99
Comfort Inn Heritage Wagga,,Wagga Wagga,4,8.1,heritage-motor-inn,452
"Holiday Inn Express Sydney Airport, an IHG Hotel",Mascot,Sydney,4,8.6,holiday-inn-express-sydney-airport,1496
Crown Hotel Surry Hills,Surry Hills,Sydney,4,8.1,the-crown,273
Revive Central Apartments,,Temora,4,8.6,revive-central-apartments,311
Sundays at Byron,,Hayters Hill,3.5,9.6,sundays-at-byron,103
Nightcap at Archer Hotel,,Nowra,4,8.2,archer-resort,1958
ibis Styles Port Macquarie,,Port Macquarie,4,7.6,quality-inn-hw-boutique,1570
Courtyard by Marriott Sydney-North Ryde,North Ryde,Sydney,4,8.3,courtyard-by-marriott-at-north-ryde,784
Travelodge Hotel Macquarie North Ryde Sydney,North Ryde,Sydney,4,8.3,travelodge-macquarie-north-ryde,1002
Kirketon Hotel Sydney,Darlinghurst,Sydney,4,7.4,kirketon-sydney,1256
Rydges Cronulla Beachside,,Cronulla,4,8.1,rydges-cronulla-beach,1427
Quality Inn Penrith Sydney,,Penrith,4,8.4,hotel-mulgoa-road-penrith,706
Pound Creek Gallery,,Tumbarumba,3.5,8.6,pound-creek-gallery,99
Comfort Inn Heritage Wagga,,Wagga Wagga,4,8.1,heritage-motor-inn,452
